type,week,cluster_id,current_share,baseline_share,z_score,severity,cluster_label,entity,observed,expected,ratio,p_value,novel_count,total_count,novel_share,sample_complaint_ids,companies_affected,company_list,avg_growth_ratio,common_issues,score
volume_spike,2024-06-10/2024-06-16,,,,,medium,,"Affirm Holdings, Inc",14.0,5.5,2.55,0.001685,,,,,,,,,10.32340006901849
volume_spike,2024-03-11/2024-03-17,,,,,medium,,"CITIBANK, N.A.",13.0,5.0,2.6,0.002019,,,,,,,,,10.294863659545985
volume_spike,2024-07-22/2024-07-28,,,,,medium,,JPMORGAN CHASE & CO.,12.0,4.5,2.67,0.002404,,,,,,,,,10.289065518603804
volume_spike,2024-04-22/2024-04-28,,,,,medium,,Velocity Portfolio Group,12.0,4.5,2.67,0.002404,,,,,,,,,10.289065518603804
volume_spike,2024-10-07/2024-10-13,,,,,medium,,"United Collection Bureau, Inc.",8.0,2.7,3.0,0.006168,,,,,,,,,10.209855627916008
volume_spike,2024-09-16/2024-09-22,,,,,medium,,T.S. Holdings,17.0,7.2,2.34,0.001384,,,,,,,,,10.198863878499603
volume_spike,2024-08-12/2024-08-18,,,,,medium,,"I.C. System, Inc.",26.0,12.8,2.04,0.000737,,,,,,,,,10.172532453213613
volume_spike,2024-11-04/2024-11-10,,,,,medium,,"Spring Oaks Capital, LLC",15.0,6.2,2.4,0.002059,,,,,,,,,10.086343632289474
volume_spike,2024-07-15/2024-07-21,,,,,medium,,NAVY FEDERAL CREDIT UNION,8.0,2.8,2.91,0.007347,,,,,,,,,10.043889954244442
volume_spike,2024-08-26/2024-09-01,,,,,medium,,TrueAccord Corp.,8.0,2.8,2.91,0.007347,,,,,,,,,10.043889954244442
volume_spike,2024-12-30/2025-01-05,,,,,medium,,Source Receivables Management LLC,8.0,2.8,2.91,0.007347,,,,,,,,,10.043889954244442
